part_number,end_Style,face_to_face,frame_size
M056352AAM8,AA,3.5,56C 143TC  145TC 182UC 184UC
M056352AM8,A,3.5,56C 143TC  145TC 182UC 184UC
M056422AAM8,AA,4.25,56C 143TC  145TC 182UC 184UC
M056422AM8,A,4.25,56C 143TC  145TC 182UC 184UC
M056452AAM8,AA,4.5,56C 143TC  145TC 182UC 184UC
M056452AM8,A,4.5,56C 143TC  145TC 182UC 184UC
M056502AAM8,AA,5,56C 143TC  145TC 182UC 184UC
M056502AM8,A,5,56C 143TC  145TC 182UC 184UC
M056502BM8,B,5,56C 143TC  145TC 182UC 184UC
M056522AAM8,AA,5.25,56C 143TC  145TC 182UC 184UC
M056522AM8,A,5.25,56C 143TC  145TC 182UC 184UC
M056522BM8,B,5.25,56C 143TC  145TC 182UC 184UC
M182472AAM8,AA,4.75,182TC 184TC 213TC 215TC 254TC 256TC
M182472AM8,A,4.75,182TC 184TC 213TC 215TC 254TC 256TC
M182502AAM8,AA,5,182TC 184TC 213TC 215TC 254TC 256TC
M182502AM8,A,5,182TC 184TC 213TC 215TC 254TC 256TC
M182522AAM8,AA,5.25,182TC 184TC 213TC 215TC 254TC 256TC
M182522AM8,A,5.25,182TC 184TC 213TC 215TC 254TC 256TC
M182522BM8,B,5.25,182TC 184TC 213TC 215TC 254TC 256TC
M182522CM8,C,5.25,182TC 184TC 213TC 215TC 254TC 256TC
M182582AAM8,AA,5.81,182TC 184TC 213TC 215TC 254TC 256TC
M182582AM8,A,5.81,182TC 184TC 213TC 215TC 254TC 256TC
M182582BM8,B,5.81,182TC 184TC 213TC 215TC 254TC 256TC
M182582CM8,C,5.81,182TC 184TC 213TC 215TC 254TC 256TC
M182602BM8,B,6,182TC 184TC 213TC 215TC 254TC 256TC
M182602CM8,C,6,182TC 184TC 213TC 215TC 254TC 256TC
M182682AAM8,AA,6.81,182TC 184TC 213TC 215TC 254TC 256TC
M182682AM8,A,6.81,182TC 184TC 213TC 215TC 254TC 256TC
M182682BM8,B,6.81,182TC 184TC 213TC 215TC 254TC 256TC
M182682CM8,C,6.81,182TC 184TC 213TC 215TC 254TC 256TC
M182702BM8,B,7,182TC 184TC 213TC 215TC 254TC 256TC
M182702CM8,C,7,182TC 184TC 213TC 215TC 254TC 256TC
M284682AM8,A,6.81,284TC 284TSC  286TC 286TSC
M284682BM8,B,6.81,284TC 284TSC  286TC 286TSC
M284682CM8,C,6.81,284TC 284TSC  286TC 286TSC
M284752AM8,A,7.5,284TC 284TSC  286TC 286TSC
M284752BM8,B,7.5,284TC 284TSC  286TC 286TSC
M284752CM8,C,7.5,284TC 284TSC  286TC 286TSC
M284862AM8,A,8.69,284TC 284TSC  286TC 286TSC
M284862BM8,B,8.69,284TC 284TSC  286TC 286TSC
M284862CM8,C,8.69,284TC 284TSC  286TC 286TSC
M324762BM8,B,7.62,324TC 326TC 326TSC 364TC 364TSC 365TC 365TSC 404TC 404TSC 405TC 405TSC
M324762CM8,C,7.62,324TC 326TC 326TSC 364TC 364TSC 365TC 365TSC 404TC 404TSC 405TC 405TSC
M324762DM8,D,7.62,324TC 326TC 326TSC 364TC 364TSC 365TC 365TSC 404TC 404TSC 405TC 405TSC
M324872BM8,B,8.75,324TC 326TC 326TSC 364TC 364TSC 365TC 365TSC 404TC 404TSC 405TC 405TSC
M324872CM8,C,8.75,324TC 326TC 326TSC 364TC 364TSC 365TC 365TSC 404TC 404TSC 405TC 405TSC
M324872DM8,D,8.75,324TC 326TC 326TSC 364TC 364TSC 365TC 365TSC 404TC 404TSC 405TC 405TSC
M444882CM8,C,8.88,444TC 444TSC 445TC 445TSC 447TC 447TSC 449TC 449TSC
M444882DM8,D,8.88,444TC 444TSC 445TC 445TSC 447TC 447TSC 449TC 449TSC
M444882EM8,E,8.88,444TC 444TSC 445TC 445TSC 447TC 447TSC 449TC 449TSC
S056,,,56C 143TC  145TC 182UC 184UC
S182,,,182TC 184TC 213TC 215TC 254TC 256TC
S284,,,284TC 284TSC  286TC 286TSC
S324,,,324TC 326TC 326TSC 364TC 364TSC 365TC 365TSC 404TC 404TSC 405TC 405TSC
S444,,,444TC 444TSC 445TC 445TSC 447TC 447TSC 449TC 449TSC
