part_number,end_Style,face_to_face,frame_size,max_coupling_size,coupling_size_pref
M056352AAM8,AA,3.5,56C 143TC  145TC 182UC 184UC,100,100
M056352AM8,A,3.5,56C 143TC  145TC 182UC 184UC,300,200
M056422AAM8,AA,4.25,56C 143TC  145TC 182UC 184UC,100,100
M056422AM8,A,4.25,56C 143TC  145TC 182UC 184UC,300,200
M056452AAM8,AA,4.5,56C 143TC  145TC 182UC 184UC,100,100
M056452AM8,A,4.5,56C 143TC  145TC 182UC 184UC,300,200
M056502AAM8,AA,5,56C 143TC  145TC 182UC 184UC,100,100
M056502AM8,A,5,56C 143TC  145TC 182UC 184UC,300,200
M056502BM8,B,5,56C 143TC  145TC 182UC 184UC,300,200
M056522AAM8,AA,5.25,56C 143TC  145TC 182UC 184UC,100,100
M056522AM8,A,5.25,56C 143TC  145TC 182UC 184UC,300,200
M056522BM8,B,5.25,56C 143TC  145TC 182UC 184UC,300,200
M182472AAM8,AA,4.75,182TC 184TC 213TC 215TC 254TC 256TC,200,200
M182472AM8,A,4.75,182TC 184TC 213TC 215TC 254TC 256TC,500,300
M182502AAM8,AA,5,182TC 184TC 213TC 215TC 254TC 256TC,500,200
M182502AM8,A,5,182TC 184TC 213TC 215TC 254TC 256TC,500,300
M182522AAM8,AA,5.25,182TC 184TC 213TC 215TC 254TC 256TC,500,200
M182522AM8,A,5.25,182TC 184TC 213TC 215TC 254TC 256TC,500,300
M182522BM8,B,5.25,182TC 184TC 213TC 215TC 254TC 256TC,500,400
M182522CM8,C,5.25,182TC 184TC 213TC 215TC 254TC 256TC,500,400
M182582AAM8,AA,5.81,182TC 184TC 213TC 215TC 254TC 256TC,500,200
M182582AM8,A,5.81,182TC 184TC 213TC 215TC 254TC 256TC,500,200
M182582BM8,B,5.81,182TC 184TC 213TC 215TC 254TC 256TC,500,300
M182582CM8,C,5.81,182TC 184TC 213TC 215TC 254TC 256TC,500,400
M182602BM8,B,6,182TC 184TC 213TC 215TC 254TC 256TC,500,400
M182602CM8,C,6,182TC 184TC 213TC 215TC 254TC 256TC,500,400
M182682AAM8,AA,6.81,182TC 184TC 213TC 215TC 254TC 256TC,500,200
M182682AM8,A,6.81,182TC 184TC 213TC 215TC 254TC 256TC,500,300
M182682BM8,B,6.81,182TC 184TC 213TC 215TC 254TC 256TC,500,400
M182682CM8,C,6.81,182TC 184TC 213TC 215TC 254TC 256TC,500,400
M182702BM8,B,7,182TC 184TC 213TC 215TC 254TC 256TC,500,400
M182702CM8,C,7,182TC 184TC 213TC 215TC 254TC 256TC,500,400
M284682AM8,A,6.81,284TC 284TSC  286TC 286TSC,600,300
M284682BM8,B,6.81,284TC 284TSC  286TC 286TSC,600,400
M284682CM8,C,6.81,284TC 284TSC  286TC 286TSC,600,500
M284752AM8,A,7.5,284TC 284TSC  286TC 286TSC,600,300
M284752BM8,B,7.5,284TC 284TSC  286TC 286TSC,600,400
M284752CM8,C,7.5,284TC 284TSC  286TC 286TSC,600,500
M284862AM8,A,8.69,284TC 284TSC  286TC 286TSC,600,300
M284862BM8,B,8.69,284TC 284TSC  286TC 286TSC,600,400
M284862CM8,C,8.69,284TC 284TSC  286TC 286TSC,600,500
M324762BM8,B,7.62,324TC 326TC 326TSC 364TC 364TSC 365TC 365TSC 404TC 404TSC 405TC 405TSC,700,400
M324762CM8,C,7.62,324TC 326TC 326TSC 364TC 364TSC 365TC 365TSC 404TC 404TSC 405TC 405TSC,700,500
M324762DM8,D,7.62,324TC 326TC 326TSC 364TC 364TSC 365TC 365TSC 404TC 404TSC 405TC 405TSC,700,600
M324872BM8,B,8.75,324TC 326TC 326TSC 364TC 364TSC 365TC 365TSC 404TC 404TSC 405TC 405TSC,700,400
M324872CM8,C,8.75,324TC 326TC 326TSC 364TC 364TSC 365TC 365TSC 404TC 404TSC 405TC 405TSC,700,500
M324872DM8,D,8.75,324TC 326TC 326TSC 364TC 364TSC 365TC 365TSC 404TC 404TSC 405TC 405TSC,700,600
M444882CM8,C,8.88,444TC 444TSC 445TC 445TSC 447TC 447TSC 449TC 449TSC,800,800
M444882DM8,D,8.88,444TC 444TSC 445TC 445TSC 447TC 447TSC 449TC 449TSC,800,800
M444882EM8,E,8.88,444TC 444TSC 445TC 445TSC 447TC 447TSC 449TC 449TSC,800,800
S056,,,56C 143TC  145TC 182UC 184UC,200,200
S182,,,182TC 184TC 213TC 215TC 254TC 256TC,400,400
S284,,,284TC 284TSC  286TC 286TSC,500,500
S324,,,324TC 326TC 326TSC 364TC 364TSC 365TC 365TSC,600,600
S324,,,404TC 404TSC 405TC 405TSC,800,700
S444,,,444TC 444TSC 445TC 445TSC 447TC 447TSC 449TC 449TSC,800,800
