code,sizes
01203,100 200
01403,100 200
01404,100 200 300
01604,100 200 300
01804,100 200 300
02005,100 200 300
02006,100 200 300 400
02206,100 200 300 400
02404,100 200 300
02406,100 200 300 400 500 600
02806,100 200 300 400 500 600
02808,100 200 300 400 500 600
03008,100 200 300
10006,100 200 300 400 500 600
10008,100 200 300 400 500 600
10408,100 200 300 400 500 600
10608,300 500
10808,200 300 400 500 600
10810,200 300 400 500 600 700 800
11210,200 300 400 500 600 700 800
11212,300
11412,300 400 500
11610,300 400 500 600
11612,300 400 500 600 700 800
12012,300 400 500 600 700 800
12412,400 500 600 700 800
12414,400 500 600 700 800
12816,400 500 600 700 800 900
13016,500 600
20016,500 600 700 800 900
20416,500 600 700 800 900
20816,500 600 700 800 900
21220,500 600 700 800 900
21620,600 700 800 900
22020,600 700 800 900
22420,700 800 900
22824,700 800 900
30024,800 900
30824,800 900
31228,800 900
31628,800 900
32028,800 900
32428,800 900
32832,800 900
40032,900
40432,900
40832,900
41232,900
41632,900
41640,900
42040,900
42440,900
A0916C,100 200 300 400
A1316C,100 200 300 400 500
A1516C,200 300 400 500 600 700
B1412C,500 600 700 800 900
B1712C,500 600 700 800 900
B1308C,600 700 800 900
B1508C,800 900
