name,sales_group,address,customer_account
*****DO NO USE****FedEx,JAG,"1714 Burlington Street
Columbia, MO 65202",C004568
**DO NOT USE THIS ACCT USE 3231*****,MTL,"12456 State Route 127
Nashville, IL 62263",C004623
**DO NOT USE**,DTL,"30 Arrowhead Industrial Blvd.
Saint Peters, MO 63376",C018332
*Do Not Use* St. Louis Paving *Do Not Use*,JHF,"** DO NOT USE - SEE C011971 **
3206 Big Bend Industrial
St. Louis, MO 63143",C011970
1.75 Cleaners,JHF,"5209 North Illinois
Fairview Hts., IL 62208",C000005
10 Barrel Brewing LLC,JHF,"62970 NE 18th Street
Bend, OR 97701",C018013
100 West Cleaners,JHF,"13844 Manchester Road
Ballwin, MO 63011",C000006
1011 Packaging Solutions,TNC,"1009 Madison 201
Frederick Town, MO 63645",C000007
126th Air Refueling Wing Il Air Nat Grd,JHF,"146 Airguard Way 
Building 5002
Scott Air Force Base, IL 62225",C011265
126th Air Refueling Wing IL AIR NAT GRD,JHF,"146 Air Guard Way
Illinois Air National Guard
Scott Air Force Base, IL 62225",C034481
133Natoli Engineering,DTL,"133 Chesterfield Industrial Blvd
Chesterfield, MO 63005",C009110
20Th Century Auto Body,JHF,"4933 Natural Bridge 
P. O. Box 150422
St. Louis, MO 63115",C000008
24 Seven Enterprises,JHF,"13600 Shoreline Drive
Earth City, MO 63045",C024504
24 Seven Enterprises,JHF,"979 Port West Drive
Saint Charles, MO 63303",C024505
24:1 Construction Company,JHF,"6506 Wright Way
St. John, MO 63121",C025771
26Natoli Engineering,DTL,"26 Research Park Circle
St Charles, MO 63304",C009111
27Natoli Engineering,DTL,"27 Research Park Circle
St Charles, MO 63304",C009112
3 D Solutions,JHF,"200 Parkade Court
Ste. C
Peachtree City, GA 30269",C000009
354 Lrs Trans,JHF,"422 Division Ave
Eielson Afb, AK 99702",C000010
360 Brake Service,JHF,"5719 State Street
East St. Louis, IL 62203",C000011
3A Composites USA,JHF,"208 West 5th Street
Benton, KY 42025",C021068
"3-D Leasing, Inc.",MJA,"1501 Kamar Dr.
Pittsfield, IL 62363",C000012
3E Company,JHF,"953 73rd St.
Windsor Heights, IA 50324",C018325
3M,JHF,"1308 New Lair Rd.
Cynthiana, KY 41031",C015389
3M Company,JHF,"3M Center
Bldg. 0235-3F-08
Saint Paul, MN 55144",C000013
3M Company,JAG,"5400 Route B
COLUMBIA, MO 65202",C000014
3M Company,MRH,"3047 Elm Point Industrial Drive
St. Charles, MO 63301",C000015
3Sigma Automation Inc.,JHF,"165 Weldon Parkway
Maryland Hts., MO 63043",C000016
4 L Waterjet,JHF,"540 Coultas Road
Winchester, IL 62694",C021860
4 Paws Animal Hospital,JHF,"2006 West Hwy 50
O'Fallon, IL 62269",C000018
4 Way Gin Co,JHF,"502 N Main
Senath, MO 63876",C037030
48 Forty Solutions - St. Louis,KMP,"4232 Planned Industrial
St. Louis, MO 63120",C006105
48Forty Solutions,JHF,"5897 Windward Parkway
Alpharetta, GA 30005",C028649
4X Air,JHF,"58 Cottage Avenue
Cottage Hills, IL 62018",C016628
5 Continental Distributing Llc,JHF,"39374 Grand Ave
Minneapolis, MN 55449",C000019
51 Rental,TNC,"601 S. Perryville Blvd
Perryville, MO 63775",C000020
55 Tires and Service,JHF,"4309 Butler Hill Road
St. Louis, MO 63128",C015526
5R Holdings,JHF,"1451 Page Industrial Drive
St. Louis, MO 63132",C000021
601 Direct,JHF,"601 Cannonball Lane
O'Fallon, MO 63366",C000022
A & A Fire,KFC,"1120 Rainbow Circle
Kirbyville, MO 65679",C000023
A & A Handpiece Service Center,JAP,"2127 Martina
Washington, MO 63090",C000024
A & B Plumbing,TNC,"10 Federal Park Road
Desloge, MO 63601",C000025
A & B Sewing,JHF,"6670 Manchester Avenue
St. Louis, MO 63139",C000026
A & E Custom Manufacturing,JHF,"3150 Chrysler Rd
Kansas City, KS 66115",C000027
A & F,JHF,"126 Old Claypit Road
Leslie, MO 63056",C000028
A & G Woodworking,JHF,"575 Fee Fee
Maryland Hts., MO 63043",C000029
A & H Mechanical Contracting,JHF,"P. O. Box 186
Collinsville, IL 62234",C000030
A & J Transmission,JHF,"1761 State Hwy A
Marshfield, MO 65706",C000031
A & K Cooperage,JHF,"P.O. Box 218
Higbee, MO 65257",C000032
A & L Hydraulics Inc.,JHF,"4412 So. 87Th Street
Omaha, NE 68127",C000033
A & M Pump Incorporated,SDH,"1370 Jan Acres
Festus, MO 63028",C000034
"A & W Plumbing & Heating, Inc.",JHF,"11 Alliance Avenue
Murphysboro, IL 62966",C020862
A A Automotive,SDH,"1347 Jeffco
Arnold, MO 63010",C000035
A And S Salvage,JHF,"5300 Martin Luther King
St. Louis, MO 63140",C000036
A Cut Of Glass,KFC,"3010 Us Highway 160
Walnut Shade, MO 65771",C000037
A Level Above The Rest,JHF,"1900 Leitman Road
Moscow Mills, MO 63362",C000038
A Ok Rental,JHF,"23497 State Highway 16
Jerseyville, IL 62052",C000039
A One Manufacturing Llc,KFC,"549 Evergreen Road
Strafford, MO 65757",C000040
A One Well Drilling,NCB,"23303 Hwy Bb
Warsaw, MO 65355",C000041
A P Green Refractories,JAG,"Fulton, Mo Plt
Fulton, MO 65251",C014142
A R T Press Services,DMB,"1511 East 26th Street
Joplin, MO 64804",C014570
A Scientific,JHF,"1550 S. Kingshighway Blvd.
St. Louis, MO 63110",C000042
A To Z Auto,JAG,"806 Fay Street
Columbia, MO 65201",C000043
A To Z Laminating Specialists,LRH,"#1 Quality Court
Wentzville, MO 63385",C000044
A&N Energy Systems Inc.,JHF,"1701 East Empire Street
Suite 360-111
Bloomington, IL 61704",C024162
A&R Ventures,JHF,"136 Cross Creek Drive
Madison, MS 39130",C000045
"A&W Plumbing & Heating, Inc.",JHF,"11 Alliance Avenue
Murphysboro, IL 62966",C021806
A. B. M. Marking,JHF,"2799 South Belt West
Belleville, IL 62226",C000046
A. C. Jones,JHF,"700 Garden Avenue
Beardstown, IL 62618",C000047
A. D. Lift Truck,KMP,"5434 Natural Bridge
St. Louis, MO 63120",C000048
"A. E. Equipment, Inc.",JHF,"2501 North Lark Drive
Fenton, MO 63026",C000049
A. E. Schmidt Company,JHF,"720 Koeln Avenue
St. Louis, MO 63111",C000050
A. G. Cleaners,JHF,"11222 Manchester
St. Louis, MO 63122",C000051
"A. G. Recycling, **DO NOT USE**",JHF,"*** DO NOT USE - SEE C000073 ***
6515 Page Avenue
St. Louis, MO 63133",C000052
A. G. Truck Repair,JDC,"40 County Road 564
Poplar Bluff, MO 63901",C000053
A. J. A. Tool Company,JHF,"11017 Lin Valle
St. Louis, MO 63123",C000054
A. M. I. Pipe And Supply,JHF,"410 Johnson 
P. O. Box 697
Keokuk, IA 52632",C000058
A. P. Green Refractories,JAG,"#1 Green Boulevard
Mexico, MO 65265",C000059
A. T. & T.,AJA,"4676 Lansdowne
St. Louis, MO 63116",C000060
A. T. & T.,JHF,"9500 Natural Bridge
St. Louis, MO 63134",C000061
A. T. & T.,JHF,"Accounts Payable 
P. O. Box 105651
Atlanta, GA 30348",C000062
A. T. & T.,JHF,"9410 Baltimore
Saint Louis, MO 63114",C019523
A. T. & T.Global Fleet Op.Cntr,JHF,"909 Chestnut St.  34-R-2
St. Louis, MO 63101",C000063
A. W. S. Enterprises,SDH,"4738 Orchard Drive
Barnhart, MO 63012",C000064
A.A.F. International,JAG,"2510 Vandiver
Columbia, MO 65202",C000065
A.A.F. International,JAG,"2100 Nelwood Dr
Columbia, MO 65202",C000066
A.A.F. International,JAG,"Clean Air Division 
10300 Ormsby Park Pl
Suite 600 
Po Box 35690
Louisville, KY 40232",C000067
A.B.B. Ce Services,SDH,"P.O. Box 645
Pevely, MO 63070",C000068
A.B.B. Ce Services,JHF,"P.O. Box 86
Labadie, MO 63055",C000069
"A.C.E. Compressor Parts & Service, Inc.",JHF,"Mayfield, KY 42066",C024603
A.D.M.,KMP,"#1 East Grand
St. Louis, MO 63147",C000070
A.D.M. Co-Gen Plant,MDC,"4666 Faries Parkway 
P.O. Box 1470
Decatur, IL 62526",C000071
A.E. Simpson Construction,JDC,"#51 County Rd 316
Scott City, MO 63780",C000072
A.G. Recycling,KMP,"6515 Page Avenue
St. Louis, MO 63133",C000073
A.M. Testing And Power,JHF,"1084 Gravois Road
Fenton, MO 63026",C000074
"A.S.K. International, Inc",JHF,"14244 Kinderhood Drive
Chesterfield, MO 63017",C000075
A.W. Heating & A.C.,SDH,"10987 Lin Valle Dr 
Suite B
St. Louis, MO 63123",C000076
A+ Cleaners,JHF,"2855 North Highway 67
Florissant, MO 63033",C000077
A+Anthony Corp,JHF,"530 Columbia Drive
Suite 101
Johnson City, NY 13790",C000078
