motor_number,frame_size,shaft_length,hp,voltage,coupling_max,coupling_code
CL3504,56C,1.875,0.5,1,100,2006
CL3510,56C,1.875,1,1,100,2006
CL3514,56C,1.875,1.5,1,100,2006
00218ES1B145TC-S,145TC,2.25,2,1,100,2806
00318ES1E184TC-W22,184TC,2.75,3,1,100,10408
CL3612TM,182TC,2.75,5,1,200,10408
CM3538,56C,1.875,0.5,2,100,2006
00118ET3E143TC-W22,143TC,2.25,1,2,100,2806
00158ET3E145TC-W22,145TC,2.25,1.5,2,100,2806
00218ET3E145TC-W22,145TC,2.25,2,2,100,2806
00318ET3E182TC-W22,182TC,2.75,3,2,200,10408
00518ET3E184TC-W22,184TC,2.75,5,2,200,10408
00718ET3E213TC-W22,213TC,3,7,2,200,10408
01018ET3E215TC-W22,215TC,3,10,2,200,10408
02018ET3E256TC-W22,256TC,3.75,20,2,400,11210
02518ET3E284TC-W22,284TC,4.625,25,2,400,12816
03018ET3E286TC-W22,286TC,4.625,30,2,400,12816
04018ET3E324TC-W22,324TC,5.25,40,2,500,20416
05018ET3E326TC-W22,326TC,5.25,50,2,500,20416
06018ET3E364TC-W22,364TC,5.875,60,2,500,21220
07518ET3E365TC-W22,365TC,5.875,75,2,600,21220
10018ET3E405TC-W22,405TC,7.25,100,2,700,22824
12518ET3G444TC-W22,444TC,8.5,125,2,800,31228
15018ET3G445TC-W22,445TC,8.5,150,2,800,31228
20018ET3G447TC-W22,447TC,8.5,200,2,800,31228
25018EP3G447TC-W22,447TC,8.5,250,2,800,31228
00118ET3HE143TC-W22,143TC,2.25,1,3,100,2806
00158ET3H145TC-W22,145TC,2.25,1.5,3,100,2806
00218ET3H145TC-W22,145TC,2.25,2,3,100,2806
00318ET3H182TC-W22,182TC,2.75,3,3,100,10408
00518ET3H184TC-W22,184TC,2.75,5,3,200,10408
00718ET3H213TC-W22,213TC,3,7,3,200,10408
01018ET3H215TC-W22,215TC,3,10,3,200,10408
02018ET3H256TC-W22,256TC,3.75,20,3,400,11210
03018ET3H286TC-W22,286TC,4.625,30,3,400,12816
04018ET3H324TC-W22,324TC,5.25,40,3,500,20416
