pump_type,pump_size,control_type,part_number,shaft
A10-31,18,DRG,R902502752,K
A10-31,18,DFR,R902502736,K
A10-31,28,DFR,R902502732,K
A10-31,28,DRG,R902502734,K
A10-31,45,DFR,R902502733,K
A10-31,45,DRG,R902502737,K
A10-31,71,DRG,R902502985,K
A10-31,100,DFR,R902502730,K
A10-31,100,DRG,R902502990,K
A10-31,100,DR,R902502992,K
A10-31,140,DR,R902502731,K
A10-31,140,DFR,R902503001,K
A10-31,140,DRG,R902503004,K
A10-32,45,DRG,R902513876,S
A10-32,71,DRG,R902512942,S
A10-32,100,DRG,R902541942,S
A10-32,140,DRG,R902513544,S
A4,40,DR,R902406306,K
A4,71,DR,R902406401,K
A4,125,DR,R902451164,K
A4,180,DR,R902446024,K
A4,250,DR,R902445975,K
Gear,1,,R979107374,K
Gear,2,,R979107375,K
Gear,3.1,,R979107377,K
Gear,4,,R979107378,K
Gear,5,,R979107380,K
Gear,6.3,,R979107381,K
Gear,7.1,,R979107382,K
Gear,4,,9510290021,K
Gear,5,,9510290022,K
Gear,8,,9510290023,K
Gear,11,,9510290024,K
Gear,14,,9510290025,K
Gear,16,,9510290122,K
Gear,19,,9510290123,K
Gear,22,,9510290124,K
