id,pump,pump_size,pump_suction,pump_suction_style,pump_pressure,pump_pressure_style,pump_case,pump_case_style,pump_flange,pump_shaft_length,pump_coupling_code,pump_shaft_style,pump_class,rear_pump,front_pump
1,A10VSO18***/31R-*KC***,18,1,CD61,0.75,CD61,0.375,SAE,A,1.61,2406,k,1,,a10vso18_31
2,A10VSO18***/31R-*SC***,18,1,CD61,0.75,CD61,0.375,SAE,A,1.5,A0916C,s,1,A10VSO18_31,a10vso18_31
3,A10VSO28***/31R-*KC***,28,1.25,CD61,0.75,CD61,0.5,SAE,B,1.63,2808,k,1,,a10vso28_31
4,A10VSO28***/31R-*SC***,28,1.25,CD61,0.75,CD61,0.5,SAE,B,1.61,A1316C,s,1,A10VSO28_31,a10vso28_31
5,A10VSO45***/31R-*KC***,45,1.5,CD61,1,CD61,0.625,SAE,B,1.81,10008,k,1,,a10vso45_31
6,A10VSO45***/31R-*SC***,45,1.5,CD61,1,CD61,0.625,SAE,B,1.61,A1516C,s,1,A10VSO45_31,a10vso45_31
7,A10VSO71***/31R-*KC***,71,2,CD61,1,CD61,0.625,SAE,C,2.18,10810,k,1,,a10vso71_31
8,A10VSO71***/31R-*SC***,71,2,CD61,1,CD61,0.625,SAE,C,2.18,B1412C,s,1,A10VSO71_31,a10vso71_31
9,A10VSO100***/31R-*KC***,100,2.5,CD61,1.25,CD62,0.75,SAE,C,2.44,11612,k,1,,a10vso100_31
10,A10VSO100***/31R-*SC***,100,2.5,CD61,1.25,CD62,0.75,SAE,C,2.44,B1712C,s,1,,a10vso100_31
11,A10VSO140***/31R-*KC***,140,2.5,CD61,1.25,CD62,0.75,SAE,D,2.95,12414,k,1,,a10vso140_31
12,A10VSO140***/31R-*SC***,140,2.5,CD61,1.25,CD62,0.75,SAE,D,2.95,B1308C,s,1,A10VSO140_31,a10vso140_31
13,A10VSO45***/32R-*KC***,45,1.5,CD61,1,CD61,0.625,SAE,C,2.05,10008,k,2,,a10vso45_32
14,A10VSO45***/32R-*SC***,45,1.5,CD61,1,CD61,0.625,SAE,C,1.81,A1516C,s,2,A10VSO45_32,a10vso45_32
15,A10VSO71***/32R-*KC***,71,2,CD61,1,CD61,0.625,SAE,C,2.19,10810,k,2,,a10vso71_32
16,A10VSO71***/32R-*SC***,71,2,CD61,1,CD61,0.625,SAE,C,2.18,B1412C,s,2,A10VSO71_32,a10vso71_32
17,A10VSO100***/32R-*KC***,100,2.5,CD61,1.25,CD62,0.75,SAE,D,2.44,11612,k,2,,a10vso100_32
18,A10VSO100***/32R-*SC***,100,2.5,CD61,1.25,CD62,0.75,SAE,D,2.44,B1712C,s,2,A10VSO100_32,a10vso100_32
19,A10VSO140***/32R-*KC***,140,2.5,CD61,1.25,CD62,0.75,SAE,D,2.95,12414,k,2,,a10vso140_32
20,A10VSO140***/32R-*SC***,140,2.5,CD61,1.25,CD62,0.75,SAE,D,2.94,B1308C,s,2,A10VSO140_32,a10vso140_32
21,A4VSO40***/10R*-*KD***,40,1.5,CD61,0.75,CD62,0.625,SAE,C,2.18,10810,k,4,,a4vso40
22,A4VSO40***/10R*-*SD***,40,1.5,CD61,0.75,CD62,0.625,SAE,C,2.18,B1412C,s,4,A4VSO40,a4vso40
23,A4VSO71***/10R*-*KD***,71,2,CD61,1,CD62,0.75,SAE,C,2.44,11612,k,4,,a4vso71
24,A4VSO71***/10R*-*SD***,71,2,CD61,1,CD62,0.75,SAE,C,2.44,B1712C,s,4,A4VSO71,a4vso71
25,A4VSO125***/30R-*KD***,125,2.5,CD61,1.25,CD62,1,SAE,D,2.94,12414,k,4,,a4vso125
26,A4VSO125***/30R-*SD***,125,2.5,CD61,1.25,CD62,1,SAE,D,2.94,B1308C,s,4,A4VSO125,a4vso125
27,A4VSO180***/30R-*KD***,180,3,CD61,1.25,CD62,1,SAE,D,3.94,20016,k,4,,a4vso180
28,A4VSO180***/30R-*SD***,180,3,CD61,1.25,CD62,1,SAE,D,3.44,B1508C,s,4,A4VSO180,a4vso180
29,A4VSO250***/30R-*KD***,250,3,CD61,1.5,CD62,1.25,SAE,E,3.93,20016,k,4,,a4vso250
30,A4VSO250***/30R-*SD***,250,3,CD61,1.5,CD62,1.25,SAE,E,3.44,B1508C,s,4,A4VSO250,a4vso250
31,A15VSO110***/11**D4T1**,110,2.5,CD61,1,CD62,1,SAE,D,2.95,B1308C,s,3,A15VSO110,a15vso110
32,A15VSO145***/11**D4T1**,145,3,CD61,1.25,CD62,1,SAE,D,2.95,B1308C,s,3,A15VSO145,a15vso145
33,A15VSO175***/11**E4T2**,175,3,CD61,1.25,CD62,1,SAE,E,3.46,B1508C,s,3,A15VSO175,a15vso175
34,A15VSO210***/11**E4T2**,210,3.5,CD61,1.5,CD62,1.25,SAE,E,3.46,B1508C,s,3,A15VSO210,a15vso210
35,A15VSO280***/11**E4T3**,280,4,CD61,1.5,CD62,1.25,SAE,E,3.46,XXXXX,s,3,A15VSO280,a15vso280
36,AZPF**004***QR***,4,0.375,SAE,0.375,SAE,,,A,1.25,2005,k,6,,azpf
37,AZPF**004***RR***,4,0.375,SAE,0.375,SAE,,,A,1.25,A0916C,s,6,,azpf
38,AZPF**005***QR***,5.5,0.375,SAE,0.375,SAE,,,A,1.25,2005,k,6,,azpf
39,AZPF**005***RR***,5.5,0.375,SAE,0.375,SAE,,,A,1.25,A0916C,s,6,,azpf
40,AZPF**008***QR***,8,0.625,SAE,0.625,SAE,,,A,1.25,2005,k,6,,azpf
41,AZPF**008***RR***,8,0.625,SAE,0.625,SAE,,,A,1.25,A0916C,s,6,,azpf
42,AZPF**011***QR***,11,0.75,SAE,0.625,SAE,,,A,1.25,2005,k,6,,azpf
43,AZPF**011***RR***,11,0.75,SAE,0.625,SAE,,,A,1.25,A0916C,s,6,,azpf
44,AZPF**014***QR***,14,0.75,SAE,0.625,SAE,,,A,1.25,2005,k,6,,azpf
45,AZPF**014***RR***,14,0.75,SAE,0.625,SAE,,,A,1.25,A0916C,s,6,,azpf
46,AZPF**016***QR***,16,0.75,SAE,0.625,SAE,,,A,1.25,2005,k,6,,azpf
47,AZPF**016***RR***,16,0.75,SAE,0.625,SAE,,,A,1.25,A0916C,s,6,,azpf
48,AZPF**019***QR***,19,0.75,SAE,0.625,SAE,,,A,1.25,2005,k,6,,azpf
49,AZPF**019***RR***,19,0.75,SAE,0.625,SAE,,,A,1.25,A0916C,s,6,,azpf
50,AZPF**022***QR***,22,0.75,SAE,0.625,SAE,,,A,1.25,2005,k,6,,azpf
51,AZPF**022***RR***,22,0.75,SAE,0.625,SAE,,,A,1.25,A0916C,s,6,,azpf
52,AZPF**025***QR***,25,0.75,SAE,0.625,SAE,,,A,1.25,2005,k,6,,azpf
