rear_pump,a4vso250,a4vso180,a4vso125,a4vso71,a4vso40,a10vso180_32,a10vso140_32,a10vso100_32,a10vso71_32,a10vso45_32,a15vso280,a15vso210,a15vso175,a15vso145,a15vso110,a10vso140_31,a10vso100_31,a10vso71_31,a10vso45_31,a10vso28_31,a10vso18_31,azpf,azpg,size
A4VSO250,R902447067,,,,,,,,,,R902542449,,,,,,,,,,,,,250
A4VSO180,R902447066,R902447065,,,,,,,,,R902497430,,,,,,,,,,,,,180
A4VSO125,R902447063,R902447062,R902447062,,,R902496671,R902496670,,,,R902539862,R902546266,R902546266,R902543106,R902543106,,,,,,,,,125
A4VSO71,R902447057,R902447056,R902447056,,,R902510138,R902510137,R902510136,,,R902539947,R902531105,R902531105,R902545065,R902545065,,,,,,,,,71
A4VSO40,R902447055,R902447054,R902447054,,,R902510141,R902510141,R902510140,R902510139,,R902551581,R902553159,R902553159,R902543544,R902543544,,,,,,,,,40
A10VSO180_32,R902447063,R902447062,,,,R902496671,,,,,R902497430,,,,,,,,,,,,,180
A10VSO140_32,R902447063,R902447062,R902447062,,,R902496671,R902496670,,,,R902497430,,,,,,,,,,,,,140
A10VSO140_31,R902447063,R902447062,R902447062,,,R902496671,R902496670,,,,R902497430,,,,,,,,,,,,,140
A10VSO100_32,R902447053,R902447052,R902447052,,,R902496669,R902496668,R902496667,,,,,,,,,,,,,,,,100
A10VSO71_31,R902447051,R902447050,R902447050,,,R902510142,R902510141,R902510140,R902510139,,R902550039,R902497179,R902497179,R902564836,R902564836,,,,,,,,,71
A10VSO71_32,R902447055,R902447054,R902447054,,,R902510138,R902510137,R902510136,,,R902551581,R902553159,R902553159,R902543544,R902543544,,,,,,,,,71
A10VSO45_32,,R902512517,R902512517,,,R902510134,R902510134,R902510133,R902510132,R902510131,,,,,,,,,,,,,,45
A10VSO45_31,R902447047,R902447045,R902447045,,,R902496666,R902496665,R902496664,R902496663,R902496482,,R902536089,R902536089,,,,,,,,,,,45
A10VSO28_31,R902447042,R902447040,R902447040,,,R902496481,R902496480,R902496479,R902496478,R902496477,R902541685,R902541685,R902549208,R902549208,R902556281,,,,,,,,,28
A10VSO18_31,R902447037,R902447035,R902447035,,,R902496476,R902496475,R902496474,R902496473,R902496472,,,,,,,,,,,,,,18
A15VSO280,,,,,,,,,,,R902535350,,,,,,,,,,,,,280
A15VSO210,R902447067,,,,,,,,,,R902542449,R902542482,R902542482,,,,,,,,,,,210
A15VSO175,R902447067,,,,,,,,,,R902542449,R902542482,R902542482,,,,,,,,,,,175
A15VSO145,R902447063,R902447062,R902447062,,,R902496671,R902496670,,,,R902539862,R902546266,R902546266,R902543106,R902543106,,,,,,,,,145
A15VSO110,R902447063,R902447062,R902447062,,,R902496671,R902496670,,,,R902539862,R902546266,R902546266,R902543106,R902543106,,,,,,,,,110
AZPF_004,R902447037,R902447035,R902447035,,,R902496471,R902496470,R902496469,R902496468,R902496467,R902561450,R902542470,R902542470,R902543056,R902543056,K01,,K01,,K01,,,,4
AZPF_005,R902447037,R902447035,R902447035,,,R902496471,R902496470,R902496469,R902496468,R902496467,R902561450,R902542470,R902542470,R902543056,R902543056,K01,,K01,,K01,,,,5
AZPF_008,R902447037,R902447035,R902447035,,,R902496471,R902496470,R902496469,R902496468,R902496467,R902561450,R902542470,R902542470,R902543056,R902543056,K01,,K01,,K01,,,,8
AZPF_011,R902447037,R902447035,R902447035,,,R902496471,R902496470,R902496469,R902496468,R902496467,R902561450,R902542470,R902542470,R902543056,R902543056,K01,,K01,,K01,,,,11
AZPF_014,R902447037,R902447035,R902447035,,,R902496471,R902496470,R902496469,R902496468,R902496467,R902561450,R902542470,R902542470,R902543056,R902543056,K01,,K01,,K01,,,,14
AZPF_016,R902447037,R902447035,R902447035,,,R902496471,R902496470,R902496469,R902496468,R902496467,R902561450,R902542470,R902542470,R902543056,R902543056,K01,,K01,,K01,,,,16
AZPF_019,R902447037,R902447035,R902447035,,,R902496471,R902496470,R902496469,R902496468,R902496467,R902561450,R902542470,R902542470,R902543056,R902543056,K01,,K01,,K01,,,,19
AZPF_022,R902447037,R902447035,R902447035,,,R902496471,R902496470,R902496469,R902496468,R902496467,R902561450,R902542470,R902542470,R902543056,R902543056,K01,,K01,,K01,,,,22
AZPF_025,R902447037,R902447035,R902447035,,,R902496471,R902496470,R902496469,R902496468,R902496467,R902561450,R902542470,R902542470,R902543056,R902543056,K01,,K01,,K01,,,,25
AZPF_028,R902447037,R902447035,R902447035,,,R902496471,R902496470,R902496469,R902496468,R902496467,R902561450,R902542470,R902542470,R902543056,R902543056,K01,,K01,,K01,,,,28
AZPG_022,R902447042,R902447040,R902447040,,,R902496481,R902496480,R902496479,R902496478,R902496477,R902542488,R902553760,R902553760,R902541079,R902541079,,,,K68,,,,,22
AZPG_025,R902447042,R902447040,R902447040,,,R902496481,R902496480,R902496479,R902496478,R902496477,R902542488,R902553760,R902553760,R902541079,R902541079,,,,K68,,,,,25
AZPG_028,R902447042,R902447040,R902447040,,,R902496481,R902496480,R902496479,R902496478,R902496477,R902542488,R902553760,R902553760,R902541079,R902541079,,,,K68,,,,,28
AZPG_032,R902447042,R902447040,R902447040,,,R902496481,R902496480,R902496479,R902496478,R902496477,R902542488,R902553760,R902553760,R902541079,R902541079,,,,K68,,,,,32
AZPG_036,R902447042,R902447040,R902447040,,,R902496481,R902496480,R902496479,R902496478,R902496477,R902542488,R902553760,R902553760,R902541079,R902541079,,,,K68,,,,,36
AZPG_040,R902447042,R902447040,R902447040,,,R902496481,R902496480,R902496479,R902496478,R902496477,R902542488,R902553760,R902553760,R902541079,R902541079,,,,K68,,,,,40
AZPG_045,R902447042,R902447040,R902447040,,,R902496481,R902496480,R902496479,R902496478,R902496477,R902542488,R902553760,R902553760,R902541079,R902541079,,,,K68,,,,,45
AZPG_050,R902447042,R902447040,R902447040,,,R902496481,R902496480,R902496479,R902496478,R902496477,R902542488,R902553760,R902553760,R902541079,R902541079,,,,K68,,,,,50
AZPG_056,R902447042,R902447040,R902447040,,,R902496481,R902496480,R902496479,R902496478,R902496477,R902542488,R902553760,R902553760,R902541079,R902541079,,,,K68,,,,,56
AZPG_063,R902447042,R902447040,R902447040,,,R902496481,R902496480,R902496479,R902496478,R902496477,R902542488,R902553760,R902553760,R902541079,R902541079,,,,K68,,,,,63
AZPG_070,R902447042,R902447040,R902447040,,,R902496481,R902496480,R902496479,R902496478,R902496477,R902542488,R902553760,R902553760,R902541079,R902541079,,,,K68,,,,,70
AZPG_080,R902447042,R902447040,R902447040,,,R902496481,R902496480,R902496479,R902496478,R902496477,R902542488,R902553760,R902553760,R902541079,R902541079,,,,K68,,,,,80
AZPG_100,R902447042,R902447040,R902447040,,,R902496481,R902496480,R902496479,R902496478,R902496477,R902542488,R902553760,R902553760,R902541079,R902541079,,,,K68,,,,,100
